; UNITS:,  ppb,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  Tg year-1,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  Tg CH4 year-1,  ppt,  ppt,  ppm,  Tg CO year-1,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppb,  Tg N year-1,  ppt,  ppt,  Tg NMVOC year-1,  Tg N year-1,  Tg year-1,  ppt,  ppt,  ppt,  Gg S year-1,  ppt,  ppt,  PgC year-1,  ppt,  ppt,  PgC year-1
Date, CH4_constrain, HCFC141b_emissions, HCFC142b_concentration, SO2F2_concentration, halon1211_concentration, halon1211_emissions, halon1301_emissions, halon2402_emissions,BC_emissions,C2F6_constrain,C2F6_emissions,C3F8_concentration,C3F8_emissions,C4F10_concentration,C4F10_emissions,C5F12_concentration,C5F12_emissions,C6F14_concentration,C6F14_emissions,C7F16_concentration,C7F16_emissions,C8F18_concentration,C8F18_emissions,CCl4_constrain,CCl4_emissions,CF4_constrain,CF4_emissions,CFC113_constrain,CFC113_emissions,CFC114_constrain,CFC114_emissions,CFC115_constrain,CFC115_emissions,CFC11_constrain,CFC11_emissions,CFC12_constrain,CFC12_emissions,CH2Cl2_concentration,CH2Cl2_emissions,CH3Br_constrain,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_constrain,CH3Cl_emissions,CH4_emissions,CHCl3_concentration,CHCl3_emissions,CO2_constrain,CO_emissions,HCFC141b_concentration,HCFC142b_emissions,HCFC22_concentration,HCFC22_emissions,HFC125_constrain,HFC125_emissions,HFC134a_constrain,HFC134a_emissions,HFC143a_constrain,HFC143a_emissions,HFC152a_concentration,HFC152a_emissions,HFC227ea_constrain,HFC227ea_emissions,HFC236fa_concentration,HFC236fa_emissions,HFC23_constrain,HFC23_emissions,HFC245_constrain,HFC245fa_emissions,HFC32_constrain,HFC32_emissions,HFC365_constrain,HFC365_emissions,HFC4310_constrain,HFC4310_emissions,N2O_constrain,N2O_emissions,NF3_concentration,NF3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,SF6_constrain,SF6_emissions,SO2F2_emissions,SO2_emissions,cC4F8_concentration,cC4F8_emissions,ffi_emissions,halon1301_concentration,halon2402_concentration,luc_emissions
1759,736.0988871256509,0,0,0,0.004446572546536724,0.0077232726,0,0,2.1172674310973973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428936133783,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,6.912761330604553,246.6579,5.299997806549072,105.08372,0,457.00000254313153,4275.5338,20.14146621388408,5.99999996026357,300.92479,277.5399983723958,351.50776272566816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.1650466918945,0.06479623241248693,0,0,60.44526305257086,3.8825594605141793,15.574013491239148,0,0,0,1238.6934463843995,0,0,0.0027783969650759127,0,0,0.09564921266504378
1760,735.484171549479,0,0,0,0.004446572546536724,0.0077232726,0,0,2.127804104941503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428936133783,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,6.912761330604553,246.6579,5.299997806549072,105.04022,0,457.00000254313153,4273.2473,20.416797144500503,5.99999996026357,300.92479,277.6050033569336,354.41828530815224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.19305165608716,0.06602037989732504,0,0,61.0517247888764,3.870426966375627,15.819063930323424,0,0,0,1250.820917255113,0,0,0.002778490659421102,0,0,0.09740888269034213
1761,735.7630208333333,0,0,0,0.004446572546536724,0.0077232726,0,0,2.1377569894528237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428936133783,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,6.912761330604553,246.6579,5.299997806549072,105.09143,0,457.00000254313153,4275.9395,20.45599016898809,5.99999996026357,300.92479,277.6639989217122,354.70796791995804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.22205098470045,0.06726765429878842,0,0,60.98422720066375,3.9477855453840847,15.691915882574792,0,0,0,1256.5481216489331,0,0,0.0030417996868854222,0,0,0.09920092557592508
1762,736.3031056722004,0,0,0,0.004446572546536724,0.0077232726,0,0,2.101748108909336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428936133783,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,6.912761330604553,246.6579,5.299997806549072,105.08127,0,457.00000254313153,4275.4052,20.451687381976814,5.99999996026357,300.92479,277.7320022583008,349.24969722773284,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3203315e-8,0,0,0,0,0,0,0,1.5142326e-6,0,0,0,0,274.25004831949866,0.06853849253667572,0,0,60.0270893345371,3.8056067222316985,15.52593530614623,0,0,0,1235.176016491452,0,0,0.0030429071320477096,0,0,0.10102593688918185
1763,737.1810404459634,0,0,0,0.004446572546536724,0.0077232726,0,0,2.1070297579949187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428936133783,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,6.912761330604553,246.6579,5.299997806549072,105.09332,0,457.00000254313153,4276.0386,20.54517933681397,5.99999996026357,300.92479,277.7959976196289,350.0593349220327,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6788058e-7,0,0,0,0,0,0,0,1.2367808e-5,0,0,0,0,274.30205535888666,0.06983333978518949,0,0,60.127066272688566,3.846149431214471,15.526762487788051,0,0,2.6854459999999995e-7,1242.4313344000275,0,0,0.003044014577209992,0,0,0.10288452315422644
1764,738.1030629475911,0,0,0,0.004446572546536724,0.0077232726,0,0,2.0715492266986275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428936133783,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,6.912761330604553,246.6579,5.299997806549072,105.1104,0,457.00000254313153,4276.9364,20.26091721016315,5.99999996026357,300.92479,277.8590037027995,342.04461065627544,0,0,0,0,0,0,0,0,0,0,0,0,5.745499576104152e-9,1.2683334e-6,0,0,0,0,0,0,3.1742572836890304e-7,2.4998684e-5,0,0,0,0,274.3400497436523,0.0711526496288805,0,0,58.43835716681741,3.8290033683946536,14.958698984764437,0,0,2.1557046e-6,1212.8230980159792,0,0,0.0030451220223722732,0,0,0.10477730205346951
1765,738.9860382080077,0,0,3.088535753074476e-8,0.004446572546536724,0.0077232726,0,0,2.123600021913132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428936133783,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,6.912761330604553,246.6579,5.299997806549072,105.07293,0,457.00000254313153,4274.9668,20.91915499807752,5.99999996026357,300.92479,277.9129994710286,352.9327257663859,0,0,0,0,0,0,0,0,0,0,0,0,4.596399853321979e-8,1.3852706e-6,0,0,0,0,0,0,2.539405793792563e-6,3.0313258e-5,0,0,0,0,274.37204742431635,0.07249688422153833,0,0,60.629457859488916,3.8781552227346054,15.679924105503577,0,0,4.0942784e-6,1250.7252029507404,0,0,0.0030462294675345533,0,0,0.10670490263289913
1766,739.831085205078,0,0,2.4708286143019603e-7,0.004446572546536724,0.0077232726,0,0,2.1104599771353545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428936133783,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,6.912761330604553,246.6579,5.299997806549072,105.07758,0,457.00000254313153,4275.2111,20.853591900632743,5.99999996026357,300.92479,277.95800018310547,349.3806450006132,0,0,0,0,0,0,0,0,0,0,0,0,9.192799588220169e-8,1.4212948e-6,0,0,0,0,0,0,5.078811454950483e-6,3.4371719e-5,0,0,0,0,274.3920516967773,0.07386651444808362,0,0,59.85878462626717,3.884852897551278,15.358830814708325,0,0,4.4730128e-6,1244.142076911234,0,0,0.0033962667106833934,0,0,0.10866796551113769
1767,740.7289835611978,0,0,4.941657204919162e-7,0.004446572546536724,0.0077232726,0,0,2.112460701438636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428936133783,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,6.912761330604553,246.6579,5.299997806549072,105.08566,0,457.00000254313153,4275.6359,20.999179455660748,5.99999996026357,300.92479,278.0169982910156,349.61609899642303,0,0,0,0,0,0,0,0,0,0,0,0,1.3789199471148095e-7,1.4573362e-6,0,0,0,0,0,0,7.618217182425724e-6,3.8432158e-5,0,0,0,0,274.42605082194007,0.07526202008951893,0,0,59.89102690050866,3.880476348727496,15.400564496222026,0,0,4.5905545e-6,1243.3080558862168,0,0,0.003397374155845676,0,0,0.11066714309234521
1768,741.2220560709634,0,0,7.41248584290588e-7,0.004446572546536724,0.0077232726,0,0,2.183132040203538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428936133783,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,6.912761330604553,246.6579,5.299997806549072,105.04673,0,457.00000254313153,4273.5893,21.659452113517297,5.99999996026357,300.92479,278.07799530029297,362.65368482709385,0,0,0,0,0,0,0,0,0,0,0,0,1.8385599176440337e-7,1.4932143e-6,0,0,0,0,0,0,1.0157622909900965e-5,4.247379e-5,0,0,0,0,274.44704691569007,0.07668388999099586,0,0,62.365825552982606,4.039005153575375,16.063730202230957,0,0,4.7080445e-6,1294.7054231244865,0,0,0.003398481601007963,0,0,0.1127030997830392
